date,version,downloads,total
2026-07-16,23.7,16,212500
2026-07-17,23.7,113,212613
2026-07-18,23.7,60,212673
2026-07-19,23.7,126,212799
2026-07-20,23.7,69,212868
2026-07-21,23.7,121,212989
2026-07-22,23.7,62,213051
2026-07-23,23.7,126,213177
2026-07-24,23.7,118,213295
2026-07-25,23.7,113,213408
2026-07-26,23.7,1,213409
2026-07-27,23.7,2,213411
2026-07-28,23.7,2,213413
2026-07-28,23.7,0,213413
2026-07-29,23.7,2,213415
2026-07-30,23.7,2,213417
2026-07-31,23.8,5,213422
2026-08-01,23.8,1,213423
2026-08-02,23.8,2,213425
2026-08-03,23.8,1,213426
2026-08-04,23.8,1,213427
2026-08-05,23.8,10,213437
2026-08-06,23.8,11,213448
2026-08-07,23.8,6,213454
2026-08-08,23.8,2,213456
2026-08-09,23.8,3,213459
2026-08-10,23.8,3,213462
2026-08-11,23.8,4,213466
2026-08-12,23.8,4,213470
2026-08-13,23.8,5,213475
2026-08-14,23.9,5,213480
2026-08-15,23.9,3,213483
2026-08-16,23.9,15,213498
2026-08-17,23.9,3,213501
2026-08-18,23.9,7,213508
2026-08-19,23.9,6,213514
2026-08-20,23.9,5,213519
2026-08-21,23.9,4,213523
2026-08-22,23.9,3,213526
